"yr","cst","cst_n","pty_n","pv1","pvs1"
2010,83,"connecticut 3","working families",9021,0.0408817157149315
2010,83,"connecticut 3","democrat",134544,0.609731674194336
2010,83,"connecticut 3","green",2984,0.0135230058804154
2010,83,"connecticut 3","republican",74107,0.335840940475464
2010,83,"connecticut 3","write-in",5,2.27000000450062e-05
2010,84,"connecticut 4","republican",102030,0.469338655471802
2010,84,"connecticut 4","democrat",110746,0.509432315826416
2010,84,"connecticut 4","working families",4605,0.021183030679822
2010,84,"connecticut 4","write-in",10,4.60000010207295e-05
2010,85,"connecticut 5","write-in",2,8.79999970493373e-06
2010,85,"connecticut 5","write-in",20,8.80000006873161e-05
2010,85,"connecticut 5","republican",102092,0.449144959449768
2010,85,"connecticut 5","working families",4648,0.0204484760761261
2010,85,"connecticut 5","democrat",118231,0.520147144794464
2010,85,"connecticut 5","independent",2310,0.0101626459509134
2010,86,"delaware","republican",125442,0.410429388284683
2010,86,"delaware","libertarian",1986,0.00649792607873678
2010,86,"delaware","blue enigma",961,0.00314426305703819
2010,86,"delaware","independent party of delaware",3704,0.0121189914643764
2010,86,"delaware","democrat",173543,0.567809402942657
2010,87,"florida 1","write-in",1202,0.00562929082661867
2010,87,"florida 1","no party affiliation",23250,0.108886033296585
2010,87,"florida 1","republican",170821,0.800000965595245
2010,87,"florida 1","no party affiliation",18253,0.0854837372899055
2010,88,"florida 2","democrat",105211,0.413503497838974
2010,88,"florida 2","write-in",16,6.28999987384304e-05
2010,88,"florida 2","no party affiliation",7135,0.0280421953648329
2010,88,"florida 2","no party affiliation",5705,0.0224219653755426
2010,88,"florida 2","republican",136371,0.535969495773315
2010,89,"florida 3","democrat",94744,0.63036173582077
2010,89,"florida 3","no party affiliation",4625,0.0307715851813555
2010,89,"florida 3","republican",50932,0.338866680860519
2010,90,"florida 4","write-in",40,0.000173275999259204
2010,90,"florida 4","republican",178238,0.772111177444458
2010,90,"florida 4","write-in",27,0.000116962000902276
2010,90,"florida 4","no party affiliation",52540,0.227598607540131
2010,91,"florida 5","republican",208815,0.674308061599731
2010,91,"florida 5","democrat",100858,0.325691938400269
2010,92,"florida 6","republican",179349,0.714591920375824
2010,92,"florida 6","no party affiliation",71632,0.285408049821854
2010,93,"florida 7","republican",185470,0.690311014652252
2010,93,"florida 7","democrat",83206,0.309688985347748
2010,94,"florida 8","no party affiliation",4143,0.0188109558075666
